정당,등록시 정당명,대표자,등록연월일,말소연월일,사유,존속기간,비고,위키피디아,네이버 기관단체,한국민족문화대백과사전,나무위키,두산백과
한국독립당,,조소앙,1930.1.25,1949,,,,https://ko.wikipedia.org/wiki/%ED%95%9C%EA%B5%AD%EB%8F%85%EB%A6%BD%EB%8B%B9,,,,
건준,,"여운형, 안재홍",1945.8.15,1945.9.7,,,,https://ko.wikipedia.org/wiki/%EA%B1%B4%EA%B5%AD%EC%A4%80%EB%B9%84%EC%9C%84%EC%9B%90%ED%9A%8C,,,,
단민당,,N/A,N/A,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8B%A8%EB%AF%BC%EB%8B%B9,,,,
교육협회,,N/A,N/A,N/A,,,,https://ko.wikipedia.org/wiki/%EA%B5%90%EC%9C%A1%ED%98%91%ED%9A%8C,,,,
고려민주당,,원세훈,1945.8.18,1945.8.28,,,,,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0003452,,
조선민족당,,"조헌영, 조병옥",1945.8.28,1945.9.16,,,,,,,,
조선공산당,,박헌영,1945.8.20,1946.11.23,,,,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%84%A0%EA%B3%B5%EC%82%B0%EB%8B%B9,,,,
한국민주당,,송진우,1945.9.16,1949.2.10,,,,https://ko.wikipedia.org/wiki/%ED%95%9C%EA%B5%AD%EB%AF%BC%EC%A3%BC%EB%8B%B9,,,,
여자국민당,,임영신,1945.9.18,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EC%97%AC%EC%9E%90%EA%B5%AD%EB%AF%BC%EB%8B%B9,,,,
조선민주당,,조만식,1945.11.3,N/A,,,,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%84%A0%EB%AF%BC%EC%A3%BC%EB%8B%B9,,,,
대한독립촉성노동총연맹,,전진한,1946.3.10,1948.8.27,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%8F%85%EB%A6%BD%EC%B4%89%EC%84%B1%EB%85%B8%EB%8F%99%EC%B4%9D%EC%97%B0%EB%A7%B9,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0067981,,http://terms.naver.com/entry.nhn?docId=1081679&cid=40942&categoryId=34496
대한노동총연맹,,,1946.3.10,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%85%B8%EB%8F%99%EC%B4%9D%EC%97%B0%EB%A7%B9,,http://terms.naver.com/entry.nhn?docId=535453&cid=46634&categoryId=46634,,
대한독립촉성농민총연맹,,이승만,1947.8.31,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%8F%85%EB%A6%BD%EC%B4%89%EC%84%B1%EB%86%8D%EB%AF%BC%EC%B4%9D%EC%97%B0%EB%A7%B9,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0067981,,
대동청년단,,지청천,1947.9.21,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%EB%8F%99%EC%B2%AD%EB%85%84%EB%8B%A8,,,https://namu.wiki/w/%EB%8C%80%EB%8F%99%EC%B2%AD%EB%85%84%EB%8B%A8,
대한청년단,,신성모,1948.12.19,1953.9,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EC%B2%AD%EB%85%84%EB%8B%A8,,,https://namu.wiki/w/%EB%8C%80%ED%95%9C%EC%B2%AD%EB%85%84%EB%8B%A8,
조선민족청년단,,이범석,1946.10.9,1954.1,,,"1949년 1월 20일, 이승만의 강압에 의해 대한청년단에 합류",https://ko.wikipedia.org/wiki/조선민족청년단,,,,
대한독립촉성국민회,,이승만,1946.2.8,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%8F%85%EB%A6%BD%EC%B4%89%EC%84%B1%EA%B5%AD%EB%AF%BC%ED%9A%8C,,,,
남조선로동당,,여운형,1946.11.23,1955.6.30,,,,https://ko.wikipedia.org/wiki/%EB%82%A8%EC%A1%B0%EC%84%A0%EB%A1%9C%EB%8F%99%EB%8B%B9,,,,
대한국민당,,"신익희, 윤치영",1949.11.1,1958.7.1,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EA%B5%AD%EB%AF%BC%EB%8B%B9_(1948%EB%85%84),,,,
일민구락부,,N/A,N/A,N/A,,,2대 국회 1석,https://ko.wikipedia.org/wiki/%EC%9D%BC%EB%AF%BC%EA%B5%AC%EB%9D%BD%EB%B6%80,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0047188,,
대한부인회,,N/A,N/A,N/A,,,2대 국회 1석,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%B6%80%EC%9D%B8%ED%9A%8C,,,,
중앙불교위원회,,N/A,N/A,N/A,,,2대 국회 1석,https://ko.wikipedia.org/wiki/%EC%A4%91%EC%95%99%EB%B6%88%EA%B5%90%EC%9C%84%EC%9B%90%ED%9A%8C,,,,
제헌국회의원동지회,,N/A,N/A,N/A,,,3대 국회 1석,https://ko.wikipedia.org/wiki/%EC%A0%9C%ED%97%8C%EA%B5%AD%ED%9A%8C%EC%9D%98%EC%9B%90%EB%8F%99%EC%A7%80%ED%9A%8C,,,,
민주국민당,,신익희,1949.2.10,1955.9.18,,,,,,,,
자유당,,이승만,1951.12.23,1961.5.16,,,,https://ko.wikipedia.org/wiki/%EC%9E%90%EC%9C%A0%EB%8B%B9_(%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD),,,,
민주당,,"신익희, 조병옥",1955.9.18,1961.5.16,,,,,,,,
진보당,,조봉암,1956.11.1,1958.2.1,,,,,,,,
통일당,,김준연,1957.11.18,1961.5.16,,,,https://ko.wikipedia.org/wiki/%ED%86%B5%EC%9D%BC%EB%8B%B9,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0003452,https://namu.wiki/w/%ED%86%B5%EC%9D%BC%EB%8B%B9,
신민당 (구파 ),,김도연,1960.12.14,1961.5.16,,,,,,,,
사회대중당,,서상일,1960.5.13,1961.5.22,,,,https://ko.wikipedia.org/wiki/%EC%82%AC%ED%9A%8C%EB%8C%80%EC%A4%91%EB%8B%B9,,http://encykorea.aks.ac.kr/Contents/Index?contents_id=E0026128,,
한국사회당,,전진한,1960,N/A,,,,https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%A7%84%EB%B3%B4%EC%A0%95%EB%8B%B9#.ED.95.9C.EA.B5.AD.EC.82.AC.ED.9A.8C.EB.8B.B9_.281960.29,,,,
